datetime;P_kW;DRFI
2014-05-05 16:30:00;870,5783376894293;0,35757685877838324
2014-05-05 17:00:00;876,089803682882;0,3572482131274535
2014-05-05 17:30:00;886,8130696730739;0,35709200941199454
2014-05-05 18:00:00;902,6464933949716;0,35708959667291174
2014-05-05 18:30:00;923,168732668233;0,3634861634979474
2014-05-05 19:00:00;947,5989961074763;0,3637939235987464
2014-05-05 19:30:00;974,7451330223881;0,36429099750577315
2014-05-05 20:00:00;1003,0436398967512;0,3650148800992623
2014-05-05 20:30:00;1030,5785424850594;0,36599660558326763
2014-05-05 21:00:00;1055,2330268008768;0,367258785368024
2014-05-05 21:30:00;1074,816920315448;0,3687978520156154
2014-05-05 22:00:00;1087,2736502574949;0,36433053316946495
2014-05-05 22:30:00;1090,916040391397;0,36456469676278136
2014-05-05 23:00:00;1084,6605329031368;0,365146339820252
2014-05-05 23:30:00;1068,1624608340148;0,3649662368231575
2014-05-06 00:00:00;1041,9516061969052;0,3623409807779101
2014-05-06 00:30:00;1007,4384696581391;0,36003781021323855
2014-05-06 01:00:00;966,8526666098461;0,35816762003651514
2014-05-06 01:30:00;923,065898027615;0,3568130363376972
2014-05-06 02:00:00;879,3245832654408;0,3560155019931393
2014-05-06 02:30:00;838,9564783777688;0,3563306290131517
2014-05-06 03:00:00;805,0582889727922;0,3566889389475322
2014-05-06 03:30:00;780,1917281307478;0,3573782512928804
2014-05-06 04:00:00;766,1425003158433;0,3582759520021868
2014-05-06 04:30:00;763,7564692208498;0,35834508155884554
2014-05-06 05:00:00;772,8570829247702;0,3573840792927563
2014-05-06 05:30:00;792,304000396051;0,35656991765150636
2014-05-06 06:00:00;820,1380474881297;0,3559862848488293
2014-05-06 06:30:00;853,7703555744808;0,35546959236529735
2014-05-06 07:00:00;890,2620907563083;0,35769916678105634
2014-05-06 07:30:00;926,5900448189947;0,35213176803272106
2014-05-06 08:00:00;959,973569747726;0,35301254147471417
2014-05-06 08:30:00;988,1125252050475;0,35400498328298785
2014-05-06 09:00:00;1009,364536549128;0,3550195640767513
2014-05-06 09:30:00;1022,8515862335406;0,3559787244862834
2014-05-06 10:00:00;1028,4515938894565;0,35682707759013343
2014-05-06 10:30:00;1026,7385012923512;0,3564206224279677
2014-05-06 11:00:00;1018,8261910449618;0,35607234753873446
2014-05-06 11:30:00;1006,1887573664304;0,3557748857473919
2014-05-06 12:00:00;990,485838410415;0,3555041120696627
2014-05-06 12:30:00;973,3703769185004;0,355236622150204
2014-05-06 13:00:00;956,3508629875279;0,3549561054610536
2014-05-06 13:30:00;940,6903681138268;0,3546576730179279
2014-05-06 14:00:00;927,3980993424652;0,3543568710087364
2014-05-06 14:30:00;917,2197847532952;0,3540866076067778
2014-05-06 15:00:00;910,6704830449164;0,35389786798047496
2014-05-06 15:30:00;908,0921876817788;0,3538454883099852
2014-05-06 16:00:00;909,6952292554365;0,3534643150224787
2014-05-06 16:30:00;915,5834833069085;0,35200937309444197
2014-05-06 17:00:00;925,750430642888;0,3502801917097009
2014-05-06 17:30:00;940,0758903805724;0,34990394032044186
2014-05-06 18:00:00;958,2639440986376;0,34994395806249123
2014-05-06 18:30:00;979,7959922825476;0,3436165025745131
2014-05-06 19:00:00;1003,8862994833811;0,34349892152519834
2014-05-06 19:30:00;1029,4468165564992;0,3434351968687465
2014-05-06 20:00:00;1055,07877392647;0,3435304230960505
2014-05-06 20:30:00;1079,1198208834994;0,3438782710276258
2014-05-06 21:00:00;1099,7294196242606;0,34290119149869686
2014-05-06 21:30:00;1115,0427593461152;0,3473715790539257
2014-05-06 22:00:00;1123,3412358210614;0,3472492253696957
2014-05-06 22:30:00;1123,2557651843128;0,3462287384461652
2014-05-06 23:00:00;1113,9464656727712;0,3449560633735005
2014-05-06 23:30:00;1095,2626098838496;0,3435878578823014
2014-05-07 00:00:00;1067,832663197877;0,3423037790855513
2014-05-07 00:30:00;1033,0918699071951;0,3412863636885478
2014-05-07 01:00:00;993,1949080078011;0,3407005483376674
2014-05-07 01:30:00;950,8391584899698;0,3406729886844723
2014-05-07 02:00:00;909,0286166866738;0,3417556298205706
2014-05-07 02:30:00;870,7888013565495;0,34267078399028467
2014-05-07 03:00:00;838,8754693040828;0,3441723266400433
2014-05-07 03:30:00;815,510141819074;0,3461659480413577
2014-05-07 04:00:00;802,1538619869957;0,34851863195904914
2014-05-07 04:30:00;799,3733333896216;0,3471125404784957
2014-05-07 05:00:00;806,8020618539715;0,344469143445408
2014-05-07 05:30:00;823,189111970896;0,3419527168539042
2014-05-07 06:00:00;846,5562159157057;0,33969726205971573
2014-05-07 06:30:00;874,4136890075977;0,33780158596456406
2014-05-07 07:00:00;904,0094407620684;0,33294179029961196
2014-05-07 07:30:00;932,6336026470042;0,3319673136551559
2014-05-07 08:00:00;957,8609211284943;0,33131320909336753
2014-05-07 08:30:00;977,7855235594991;0,3309215856803714
2014-05-07 09:00:00;991,1762825947619;0,330719088503438
2014-05-07 09:30:00;997,5342336590346;0,330630911680284
2014-05-07 10:00:00;997,086189930941;0,33629209075037303
2014-05-07 10:30:00;990,662479125763;0,33560701454542907
2014-05-07 11:00:00;979,5333961735655;0,33488477368125164
2014-05-07 11:30:00;965,218894840755;0,3341710631960689
2014-05-07 12:00:00;949,2946622015803;0,3334972614223811
2014-05-07 12:30:00;933,2254754998125;0,33288565740783393
2014-05-07 13:00:00;918,249016309;0,33235190601175224
2014-05-07 13:30:00;905,3069980061787;0,33237816739070425
2014-05-07 14:00:00;895,0228850729545;0,33461638451561687
2014-05-07 14:30:00;887,7426715126585;0,3378534605409622
2014-05-07 15:00:00;883,6080232891725;0,33394930147747304
2014-05-07 15:30:00;882,6282669118642;0,3344992156682173
2014-05-07 16:00:00;884,7591090392874;0,33343354130550984
2014-05-07 16:30:00;889,942658555274;0,33209400662801225
2014-05-07 17:00:00;898,1234398822173;0,33048183552266447
2014-05-07 17:30:00;909,2315394164289;0,33488375868974307
2014-05-07 18:00:00;923,1336990886545;0,3328727033661224
2014-05-07 18:30:00;939,5707509267519;0,3308048217762912
2014-05-07 19:00:00;958,0728371511758;0,32880927853105524
2014-05-07 19:30:00;977,903898417432;0,32702838977023463
2014-05-07 20:00:00;998,044097740468;0,32560385713734774
2014-05-07 20:30:00;1017,2025980158661;0,32466095296935615
2014-05-07 21:00:00;1033,884419988538;0,3242893893333221
2014-05-07 21:30:00;1046,4971621395048;0,3245287752899419
2014-05-07 22:00:00;1053,5097647407551;0,31908432016268323
2014-05-07 22:30:00;1053,6471978850584;0,31782749724552123
2014-05-07 23:00:00;1046,077037332462;0,3176382581083963
2014-05-07 23:30:00;1030,550120439342;0,3125093376456915
2014-05-08 00:00:00;1007,5376736825247;0,31155542401440384
2014-05-08 00:30:00;978,172804388027;0,3085445472389832
2014-05-08 01:00:00;944,2806527228835;0,3060742430899883
2014-05-08 01:30:00;908,2083545695967;0,30430007860535696
2014-05-08 02:00:00;872,603734557559;0,30567771752362266
2014-05-08 02:30:00;840,1690726747458;0,3058221828136162
2014-05-08 03:00:00;813,400375986159;0,30663074935508117
2014-05-08 03:30:00;794,3294140424404;0,3079717691957462
2014-05-08 04:00:00;784,3310923292324;0,3096586198221786
2014-05-08 04:30:00;783,9913423512435;0,30802733543831357
2014-05-08 05:00:00;793,0640508188812;0,3063425463773086
2014-05-08 05:30:00;810,521468875696;0,3049825273814441
2014-05-08 06:00:00;834,6695328611904;0,3041319235591438
2014-05-08 06:30:00;863,350789657241;0,3043907822477069
2014-05-08 07:00:00;894,1774930027183;0,3047989053146427
2014-05-08 07:30:00;924,7819618861045;0,30596348664923834
2014-05-08 08:00:00;953,0577328326593;0,307849187544565
2014-05-08 08:30:00;977,354507608088;0,3103726668017718
2014-05-08 09:00:00;996,5869443181172;0,31341332376032016
2014-05-08 09:30:00;1010,336106021282;0,3166298636953233
2014-05-08 10:00:00;1018,7692024624407;0,3173213877527117
2014-05-08 10:30:00;1022,5642134517416;0,31595312971800965
2014-05-08 11:00:00;1022,7061992985217;0,313116202962701
2014-05-08 11:30:00;1020,3504099564203;0,31054219348438156
2014-05-08 12:00:00;1016,6737969832285;0,3083657118542948
2014-05-08 12:30:00;1012,7127334490929;0,3066308553737439
2014-05-08 13:00:00;1009,2695120688595;0,29911274748745464
2014-05-08 13:30:00;1006,8875396845307;0,298318614527438
2014-05-08 14:00:00;1005,8585194920815;0,29174638105402184
2014-05-08 14:30:00;1006,2654294512585;0,2920811296427552
2014-05-08 15:00:00;1008,0982353062623;0,2935313178763915
2014-05-08 15:30:00;1011,2984970421874;0,28846143836605953
2014-05-08 16:00:00;1015,8492763238919;0,28875854192567907
2014-05-08 16:30:00;1021,8248991433942;0,28260367323179014
